a,b,LABEL
-0.0032, 4.4578 , Fatal
0.0162, 5.3769 , Fatal
0.0789, 5.1322 , Fatal
0.0736, 4.9556 , Fatal
0.0961, 5.2364 , Fatal
0.0969, 5.3426 , Fatal
0.0439, 5.2874 , Fatal
0.0314, 5.0512 , Fatal
0.0606, 5.4712 , Fatal
0.0500, 5.1496 , Fatal
0.0437, 5.0064 , Fatal
0.1389, 5.3989 , Fatal
0.1378, 5.1188 , Fatal
0.0611, 4.9885 , Fatal
0.0163, 5.2855 , Fatal
0.1219, 5.2695 , Fatal
0.0589, 5.0593 , Fatal
0.0548, 4.7071 , Ok
0.0757, 4.8938 , Fatal
0.0449, 4.9327 , Fatal
0.0575, 4.5610 , Fatal
0.0886, 4.7850 , Fatal
0.0002, 4.6733 , Fatal
0.0635, 4.8300 , Fatal
0.0293, 5.1660 , Fatal
0.0881, 5.2043 , Fatal
0.0712, 5.2232 , Fatal
0.0788, 5.0960 , Fatal
0.0357, 5.0000 , Fatal
0.0816, 5.1332 , Fatal
0.0963, 5.3442 , Fatal
0.0337, 5.1863 , Fatal
0.0929, 5.1168 , Fatal
0.1033, 4.8139 , Fatal
0.0233, 5.0673 , Fatal
0.0496, 5.2384 , Fatal
-0.0054, 4.9703 , Fatal
0.0343, 4.9909 , Fatal
0.0479, 5.0144 , Fatal
0.0597, 4.9915 , Fatal
0.0069, 4.7607 , Ok
0.0503, 5.3494 , Fatal
0.0385, 4.8943 , Fatal
0.0460, 4.9712 , Fatal
0.0064, 5.4085 , Fatal
0.0467, 4.9408 , Fatal
0.0328, 5.2574 , Fatal
0.0042, 5.1672 , Fatal
0.0583, 4.7008 , Fatal
0.1060, 5.0901 , Fatal
0.0448, 4.8654 , Fatal
0.0315, 5.1843 , Fatal
0.1145, 5.2408 , Fatal
0.0222, 4.9409 , Fatal
0.0159, 5.0415 , Fatal
0.0865, 4.9221 , Fatal
0.0240, 4.6843 , Fatal
0.0331, 4.7633 , Fatal
0.0052, 4.8701 , Fatal
0.0652, 4.9698 , Ok
0.0237, 5.1538 , Ok
0.0659, 4.9276 , Fatal
