a,b,c,LABEL
0.4736, 3.4551, 913.9255 , Fatal
0.3852, 3.2691, 898.4951 , Fatal
0.3875, 3.3508, 890.8311 , Fatal
0.4203, 3.2281, 874.5394 , Fatal
0.4667, 3.1238, 925.5110 , Fatal
0.4146, 3.4221, 909.7902 , Fatal
0.4199, 3.4355, 915.1398 , Ok
0.4026, 3.3745, 891.9568 , Fatal
0.3664, 3.2588, 876.8474 , Fatal
0.3762, 3.7098, 845.5805 , Fatal
0.3842, 3.4917, 899.0619 , Fatal
0.4407, 2.8850, 927.4369 , Fatal
0.4714, 3.2601, 924.6977 , Fatal
0.4351, 3.5312, 911.5789 , Fatal
0.4315, 3.3881, 881.9171 , Fatal
0.4920, 3.3948, 918.2111 , Fatal
0.4397, 3.5565, 896.6215 , Fatal
0.4510, 3.2888, 888.5497 , Fatal
0.4522, 3.0660, 876.9540 , Ok
0.4083, 3.2084, 907.2057 , Fatal
0.4442, 3.7198, 860.9784 , Fatal
0.4289, 3.2949, 894.7177 , Fatal
0.4473, 2.9671, 927.1752 , Fatal
0.4550, 3.5310, 899.5893 , Fatal
0.4139, 3.5920, 895.9274 , Fatal
0.3586, 3.3026, 894.0255 , Fatal
0.4177, 3.3039, 915.6396 , Fatal
0.4816, 3.4392, 899.1866 , Fatal
0.4238, 3.5202, 888.7908 , Fatal
0.4827, 3.0350, 926.8984 , Fatal
0.4520, 3.3805, 848.8588 , Fatal
0.3899, 3.0875, 871.8394 , Fatal
0.4253, 3.1189, 899.9495 , Fatal
0.4146, 3.2774, 876.5425 , Fatal
0.4244, 3.2849, 871.2325 , Fatal
0.3762, 3.1076, 912.7654 , Fatal
0.4953, 3.2038, 917.3201 , Fatal
0.4504, 3.4512, 891.5069 , Fatal
0.3935, 3.2720, 933.9404 , Fatal
0.4078, 3.3625, 910.4551 , Fatal
0.4188, 3.3377, 888.3932 , Fatal
0.4605, 3.2064, 906.9198 , Fatal
0.3985, 3.4181, 884.5286 , Fatal
0.4358, 3.0470, 889.2906 , Fatal
0.4509, 3.6476, 875.4526 , Fatal
0.4683, 3.2803, 919.3560 , Fatal
0.4252, 3.2795, 925.2673 , Fatal
0.4588, 3.3589, 916.1861 , Fatal
0.4208, 3.1076, 865.9875 , Fatal
0.3408, 3.3677, 938.8189 , Fatal
0.4238, 3.2286, 890.9557 , Fatal
0.4610, 3.0990, 885.8980 , Fatal
0.4972, 3.1796, 880.3428 , Fatal
0.4374, 3.3627, 870.5984 , Fatal
0.4226, 3.1457, 924.2854 , Fatal
0.3674, 3.1991, 896.4121 , Fatal
0.3922, 3.3615, 915.2004 , Fatal
0.4134, 3.2923, 924.3841 , Fatal
0.3699, 3.0302, 906.8877 , Fatal
0.4620, 3.3559, 915.8531 , Fatal
0.4621, 3.3576, 889.7900 , Fatal
0.4175, 3.7459, 888.2778 , Fatal
0.4748, 3.0928, 882.6503 , Fatal
0.4555, 3.3131, 918.9816 , Fatal
0.4424, 2.8398, 873.6413 , Fatal
0.3781, 3.0436, 916.0310 , Fatal
0.4111, 2.7958, 879.2939 , Fatal
0.4500, 3.3191, 925.5144 , Fatal
0.4620, 3.1454, 883.5476 , Fatal
0.3529, 3.0767, 916.0566 , Fatal
0.3781, 3.2562, 900.3014 , Fatal
0.4182, 3.2829, 919.6085 , Ok
0.4279, 3.0734, 938.1244 , Fatal
0.4722, 3.3234, 879.9649 , Fatal
0.3819, 3.1134, 911.6992 , Fatal
0.4124, 3.2509, 892.1694 , Fatal
0.4289, 3.5788, 885.9924 , Fatal
0.4426, 3.7628, 901.2806 , Fatal
0.3294, 3.3016, 900.9735 , Ok
0.4253, 3.5008, 910.0555 , Fatal
0.4096, 3.3202, 898.6632 , Fatal
0.3678, 3.1817, 883.4029 , Fatal
0.3814, 3.0848, 875.2738 , Fatal
0.4472, 3.3242, 887.2039 , Fatal
0.3952, 3.2878, 899.3640 , Ok
0.4776, 3.1990, 897.8096 , Fatal
0.4026, 3.5464, 897.9932 , Ok
0.4104, 3.0289, 895.5713 , Fatal
0.4306, 3.6951, 931.0205 , Fatal
0.3867, 3.0775, 912.7532 , Fatal
0.4297, 3.5647, 895.0002 , Fatal
0.4476, 3.4092, 927.4703 , Fatal
0.4470, 3.2670, 894.7428 , Fatal
0.4246, 3.0483, 897.6632 , Fatal
0.4441, 3.1563, 914.3464 , Fatal
0.4357, 3.3227, 891.2850 , Fatal
0.4639, 3.0750, 890.0739 , Fatal
0.4151, 3.1473, 926.7162 , Fatal
0.4278, 3.0663, 944.6998 , Fatal
0.3976, 3.5333, 932.8793 , Fatal
-0.4299, 2.6180, 85.9048 , Ok
0.8953, 7.7994, 856.5531 , Fatal
-0.4001, 7.9886, 523.9955 , Ok
0.0256, 9.0450, 942.7563 , Fatal
-0.3111, 9.0943, 241.7660 , Fatal
-0.9522, 9.2903, 980.4754 , Fatal
-0.9796, 9.2915, 450.8475 , Fatal
0.6265, 1.1339, 770.0675 , Ok
0.0062, 4.1280, 698.3916 , Fatal
-0.3077, 5.4339, 383.6482 , Ok
0.2365, 6.6224, 115.8585 , Ok
-0.4052, 2.6217, 237.5801 , Ok
0.8282, 2.6554, 554.1622 , Fatal
-0.8765, 7.4157, 269.1703 , Ok
0.9711, 4.3267, 990.4490 , Ok
0.9389, 2.4999, 380.2470 , Ok
-0.2875, 7.8968, 101.9384 , Ok
-0.3182, 3.7464, 68.6387 , Ok
-0.4054, 4.1121, 823.6928 , Fatal
-0.1830, 6.9449, 903.9962 , Ok
0.2954, 2.5489, 924.5221 , Fatal
-0.8804, 9.7933, 293.1797 , Ok
0.8048, 7.6564, 186.4699 , Ok
-0.4207, 5.8658, 747.2377 , Fatal
-0.3737, 7.4846, 716.2574 , Ok
-0.4491, 4.0567, 314.3484 , Ok
0.6241, 0.9136, 357.1146 , Fatal
0.5683, 1.0244, 482.2652 , Fatal
0.3137, 0.1350, 601.4378 , Ok
0.3757, 1.7132, 43.4527 , Ok
-0.2997, 6.9682, 163.2251 , Ok
0.0955, 2.7764, 469.8106 , Fatal
0.6768, 2.1720, 298.0887 , Ok
-0.8764, 6.8659, 142.4764 , Ok
-0.2310, 0.7321, 505.7291 , Ok
-0.2863, 6.5307, 303.0011 , Fatal
-0.7881, 1.4697, 95.8189 , Fatal
